Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,1000000,Upper,412,0
1024,0xFFFFFFFF,1000000,Lower,0,0
1024,0xFFFFFFFF,500000,Double,261,0
1024,0x00000000,1000000,Upper,436,0
1024,0x00000000,1000000,Lower,0,0
1024,0x00000000,500000,Double,308,0
1025,0xFFFFFFFF,1000000,Upper,625,0
1025,0xFFFFFFFF,1000000,Lower,525,0
1025,0xFFFFFFFF,500000,Double,14133,0
1025,0x00000000,1000000,Upper,664,0
1025,0x00000000,1000000,Lower,573,0
1025,0x00000000,500000,Double,6530,0
1026,0xFFFFFFFF,1000000,Upper,469,0
1026,0xFFFFFFFF,1000000,Lower,363,0
1026,0xFFFFFFFF,500000,Double,12868,0
1026,0x00000000,1000000,Upper,480,0
1026,0x00000000,1000000,Lower,502,0
1026,0x00000000,500000,Double,5838,0
1027,0xFFFFFFFF,1000000,Upper,679,0
1027,0xFFFFFFFF,1000000,Lower,479,0
1027,0xFFFFFFFF,500000,Double,13995,0
1027,0x00000000,1000000,Upper,678,0
1027,0x00000000,1000000,Lower,635,0
1027,0x00000000,500000,Double,6489,0
1028,0xFFFFFFFF,1000000,Upper,488,0
1028,0xFFFFFFFF,1000000,Lower,394,0
1028,0xFFFFFFFF,500000,Double,13028,0
1028,0x00000000,1000000,Upper,560,0
1028,0x00000000,1000000,Lower,506,0
1028,0x00000000,500000,Double,5843,0
1029,0xFFFFFFFF,1000000,Upper,614,0
1029,0xFFFFFFFF,1000000,Lower,547,0
1029,0xFFFFFFFF,500000,Double,13862,0
1029,0x00000000,1000000,Upper,690,0
1029,0x00000000,1000000,Lower,608,0
1029,0x00000000,500000,Double,6342,0
1030,0xFFFFFFFF,1000000,Upper,529,0
1030,0xFFFFFFFF,1000000,Lower,396,0
1030,0xFFFFFFFF,500000,Double,12918,0
1030,0x00000000,1000000,Upper,597,0
1030,0x00000000,1000000,Lower,530,0
1030,0x00000000,500000,Double,6174,0
1031,0xFFFFFFFF,1000000,Upper,616,0
1031,0xFFFFFFFF,1000000,Lower,511,0
1031,0xFFFFFFFF,500000,Double,13764,0
1031,0x00000000,1000000,Upper,614,0
1031,0x00000000,1000000,Lower,638,0
1031,0x00000000,500000,Double,6337,0
1032,0xFFFFFFFF,1000000,Upper,531,0
1032,0xFFFFFFFF,1000000,Lower,463,0
1032,0xFFFFFFFF,500000,Double,13190,0
1032,0x00000000,1000000,Upper,500,0
1032,0x00000000,1000000,Lower,572,0
1032,0x00000000,500000,Double,5948,0
1033,0xFFFFFFFF,1000000,Upper,619,0
1033,0xFFFFFFFF,1000000,Lower,518,0
1033,0xFFFFFFFF,500000,Double,13910,0
1033,0x00000000,1000000,Upper,639,0
1033,0x00000000,1000000,Lower,579,0
1033,0x00000000,500000,Double,6292,0
1034,0xFFFFFFFF,1000000,Upper,483,0
1034,0xFFFFFFFF,1000000,Lower,418,0
1034,0xFFFFFFFF,500000,Double,13008,0
1034,0x00000000,1000000,Upper,541,0
1034,0x00000000,1000000,Lower,496,0
