Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1043,0x00000000,500000,Double,2707,0
1044,0xFFFFFFFF,1000000,Upper,241,0
1044,0xFFFFFFFF,1000000,Lower,332,0
1044,0xFFFFFFFF,500000,Double,5206,0
1044,0x00000000,1000000,Upper,340,0
1044,0x00000000,1000000,Lower,335,0
1044,0x00000000,500000,Double,2548,0
1045,0xFFFFFFFF,1000000,Upper,307,0
1045,0xFFFFFFFF,1000000,Lower,301,0
1045,0xFFFFFFFF,500000,Double,5406,0
1045,0x00000000,1000000,Upper,321,0
1045,0x00000000,1000000,Lower,349,0
1045,0x00000000,500000,Double,2703,0
1046,0xFFFFFFFF,1000000,Upper,237,0
1046,0xFFFFFFFF,1000000,Lower,304,0
1046,0xFFFFFFFF,500000,Double,5181,0
1046,0x00000000,1000000,Upper,301,0
1046,0x00000000,1000000,Lower,278,0
1046,0x00000000,500000,Double,2516,0
1047,0xFFFFFFFF,1000000,Upper,283,0
1047,0xFFFFFFFF,1000000,Lower,328,0
1047,0xFFFFFFFF,500000,Double,5248,0
1047,0x00000000,1000000,Upper,307,0
1047,0x00000000,1000000,Lower,319,0
1047,0x00000000,500000,Double,2641,0
1048,0xFFFFFFFF,1000000,Upper,261,0
1048,0xFFFFFFFF,1000000,Lower,306,0
1048,0xFFFFFFFF,500000,Double,5176,0
1048,0x00000000,1000000,Upper,329,0
1048,0x00000000,1000000,Lower,279,0
1048,0x00000000,500000,Double,2519,0
1049,0xFFFFFFFF,1000000,Upper,334,0
1049,0xFFFFFFFF,1000000,Lower,360,0
1049,0xFFFFFFFF,500000,Double,5395,0
1049,0x00000000,1000000,Upper,321,0
1049,0x00000000,1000000,Lower,368,0
1049,0x00000000,500000,Double,2764,0
1050,0xFFFFFFFF,1000000,Upper,270,0
1050,0xFFFFFFFF,1000000,Lower,289,0
1050,0xFFFFFFFF,500000,Double,5137,0
1050,0x00000000,1000000,Upper,347,0
1050,0x00000000,1000000,Lower,306,0
1050,0x00000000,500000,Double,2619,0
1051,0xFFFFFFFF,1000000,Upper,288,0
1051,0xFFFFFFFF,1000000,Lower,314,0
1051,0xFFFFFFFF,500000,Double,5337,0
1051,0x00000000,1000000,Upper,314,0
1051,0x00000000,1000000,Lower,309,0
1051,0x00000000,500000,Double,2610,0
1052,0xFFFFFFFF,1000000,Upper,248,0
1052,0xFFFFFFFF,1000000,Lower,295,0
1052,0xFFFFFFFF,500000,Double,5213,0
1052,0x00000000,1000000,Upper,331,0
1052,0x00000000,1000000,Lower,305,0
1052,0x00000000,500000,Double,2546,0
1053,0xFFFFFFFF,1000000,Upper,294,0
1053,0xFFFFFFFF,1000000,Lower,327,0
1053,0xFFFFFFFF,500000,Double,5527,0
1053,0x00000000,1000000,Upper,337,0
1053,0x00000000,1000000,Lower,345,0
1053,0x00000000,500000,Double,2678,0
1054,0xFFFFFFFF,1000000,Upper,259,0
1054,0xFFFFFFFF,1000000,Lower,329,0
1054,0xFFFFFFFF,500000,Double,5249,0
1054,0x00000000,1000000,Upper,323,0
1054,0x00000000,1000000,Lower,319,0
