Temp,Vic Row,HC,Itr
50,1024,37000,0
50,1025,11000,0
50,1026,34000,0
50,1027,11000,0
50,1028,34000,0
50,1029,34000,0
50,1030,33000,0
50,1031,35000,0
50,1032,32000,0
50,1033,30000,0
50,1034,36000,0
50,1035,35000,0
50,1036,8000,0
50,1037,33000,0
50,1038,9000,0
50,1039,35000,0
50,1040,38000,0
50,1041,31000,0
50,1042,33000,0
50,1043,30000,0
50,1044,36000,0
50,1045,33000,0
50,1046,34000,0
50,1047,31000,0
50,1048,34000,0
50,1049,33000,0
50,1050,38000,0
50,1051,35000,0
50,1052,32000,0
50,1053,33000,0
50,1054,39000,0
50,1055,34000,0
50,1056,35000,0
50,1057,32000,0
50,1058,38000,0
50,1059,30000,0
50,1060,38000,0
50,1061,32000,0
50,1062,31000,0
50,1063,32000,0
50,1064,42000,0
50,1065,32000,0
50,1066,41000,0
50,1067,34000,0
50,1068,40000,0
50,1069,33000,0
50,1070,37000,0
50,1071,34000,0
50,1072,39000,0
50,1073,32000,0
50,1074,33000,0
50,1075,35000,0
50,1076,32000,0
50,1077,30000,0
50,1078,31000,0
50,1079,30000,0
50,1080,35000,0
50,1081,10000,0
50,1082,34000,0
50,1083,32000,0
50,1084,43000,0
50,1085,9000,0
50,1086,33000,0
50,1087,32000,0
50,1088,32000,0
50,1089,34000,0
50,1090,34000,0
50,1091,31000,0
50,1092,40000,0
50,1093,35000,0
50,1094,34000,0
50,1095,35000,0
50,1096,37000,0
50,1097,33000,0
50,1098,35000,0
50,1099,33000,0
50,1100,40000,0
50,1101,33000,0
50,1102,36000,0
50,1103,33000,0
50,1104,31000,0
50,1105,34000,0
50,1106,35000,0
50,1107,32000,0
50,1108,36000,0
50,1109,30000,0
50,1110,37000,0
50,1111,35000,0
50,1112,42000,0
50,1113,36000,0
50,1114,40000,0
50,1115,31000,0
50,1116,32000,0
50,1117,8000,0
50,1118,40000,0
50,1119,36000,0
50,1120,38000,0
50,1121,32000,0
50,1122,39000,0
50,1123,34000,0
50,1124,34000,0
50,1125,33000,0
50,1126,37000,0
50,1127,34000,0
50,1128,33000,0
50,1129,34000,0
50,1130,39000,0
50,1131,34000,0
50,1132,35000,0
50,1133,33000,0
50,1134,41000,0
50,1135,33000,0
50,1136,34000,0
50,1137,36000,0
50,1138,32000,0
50,1139,34000,0
50,1140,35000,0
50,1141,35000,0
50,1142,10000,0
50,1143,32000,0
50,1144,46000,0
50,1145,34000,0
50,1146,8000,0
50,1147,34000,0
50,1148,37000,0
50,1149,33000,0
50,1150,36000,0
50,1151,33000,0
50,1152,39000,0
50,1153,31000,0
50,1154,42000,0
50,1155,10000,0
50,1156,36000,0
50,1157,33000,0
50,1158,36000,0
50,1159,37000,0
50,1160,40000,0
50,1161,34000,0
50,1162,35000,0
50,1163,37000,0
50,1164,36000,0
50,1165,36000,0
50,1166,34000,0
50,1167,34000,0
50,1168,35000,0
50,1169,31000,0
50,1170,43000,0
50,1171,32000,0
50,1172,37000,0
50,1173,38000,0
50,1174,34000,0
50,1175,34000,0
50,1176,40000,0
50,1177,31000,0
50,1178,42000,0
50,1179,36000,0
50,1180,35000,0
50,1181,33000,0
50,1182,42000,0
50,1183,35000,0
50,1184,40000,0
50,1185,31000,0
50,1186,36000,0
50,1187,34000,0
50,1188,43000,0
50,1189,32000,0
50,1190,37000,0
50,1191,32000,0
50,1192,37000,0
50,1193,35000,0
50,1194,36000,0
50,1195,35000,0
50,1196,10000,0
50,1197,35000,0
50,1198,34000,0
50,1199,37000,0
50,1200,43000,0
50,1201,38000,0
50,1202,37000,0
50,1203,36000,0
50,1204,37000,0
50,1205,35000,0
50,1206,43000,0
50,1207,37000,0
50,1208,41000,0
50,1209,11000,0
50,1210,36000,0
50,1211,32000,0
50,1212,30000,0
50,1213,33000,0
50,1214,38000,0
50,1215,31000,0
50,1216,38000,0
50,1217,35000,0
50,1218,33000,0
50,1219,34000,0
50,1220,38000,0
50,1221,37000,0
50,1222,43000,0
50,1223,39000,0
50,1224,8000,0
50,1225,32000,0
50,1226,37000,0
50,1227,11000,0
50,1228,41000,0
50,1229,36000,0
50,1230,35000,0
50,1231,32000,0
50,1232,43000,0
50,1233,39000,0
50,1234,35000,0
50,1235,9000,0
50,1236,33000,0
50,1237,35000,0
50,1238,10000,0
50,1239,34000,0
50,1240,40000,0
50,1241,34000,0
50,1242,11000,0
50,1243,9000,0
50,1244,38000,0
50,1245,34000,0
50,1246,37000,0
50,1247,42000,0
50,1248,43000,0
50,1249,35000,0
50,1250,43000,0
50,1251,36000,0
50,1252,40000,0
50,1253,36000,0
50,1254,41000,0
50,1255,33000,0
50,1256,36000,0
50,1257,36000,0
50,1258,40000,0
50,1259,36000,0
50,1260,46000,0
50,1261,31000,0
50,1262,46000,0
50,1263,36000,0
50,1264,35000,0
50,1265,39000,0
50,1266,35000,0
50,1267,32000,0
50,1268,44000,0
50,1269,34000,0
50,1270,47000,0
50,1271,35000,0
50,1272,45000,0
50,1273,40000,0
50,1274,44000,0
50,1275,37000,0
50,1276,48000,0
50,1277,38000,0
50,1278,51000,0
50,1279,309000,0
50,1281,32000,0
50,1282,53000,0
50,1283,29000,0
50,1284,41000,0
50,1285,10000,0
50,1286,45000,0
50,1287,34000,0
50,1288,44000,0
50,1289,39000,0
50,1290,40000,0
50,1291,40000,0
50,1292,35000,0
50,1293,33000,0
50,1294,41000,0
50,1295,39000,0
50,1296,44000,0
50,1297,37000,0
50,1298,38000,0
50,1299,9000,0
50,1300,43000,0
50,1301,35000,0
50,1302,35000,0
50,1303,34000,0
50,1304,46000,0
50,1305,39000,0
50,1306,35000,0
50,1307,40000,0
50,1308,42000,0
50,1309,33000,0
50,1310,42000,0
50,1311,37000,0
50,1312,39000,0
50,1313,37000,0
50,1314,41000,0
50,1315,33000,0
50,1316,10000,0
50,1317,32000,0
50,1318,36000,0
50,1319,37000,0
50,1320,39000,0
50,1321,40000,0
50,1322,37000,0
50,1323,32000,0
50,1324,41000,0
50,1325,35000,0
50,1326,37000,0
50,1327,37000,0
50,1328,37000,0
50,1329,9000,0
50,1330,34000,0
50,1331,36000,0
50,1332,39000,0
50,1333,35000,0
50,1334,42000,0
50,1335,38000,0
50,1336,42000,0
50,1337,35000,0
50,1338,35000,0
