Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1043,0x00000000,1000000,Lower,730,0
1043,0x00000000,500000,Double,8468,0
1044,0xFFFFFFFF,1000000,Upper,1013,0
1044,0xFFFFFFFF,1000000,Lower,1046,0
1044,0xFFFFFFFF,500000,Double,18968,0
1044,0x00000000,1000000,Upper,920,0
1044,0x00000000,1000000,Lower,1067,0
1044,0x00000000,500000,Double,9451,0
1045,0xFFFFFFFF,1000000,Upper,953,0
1045,0xFFFFFFFF,1000000,Lower,680,0
1045,0xFFFFFFFF,500000,Double,17965,0
1045,0x00000000,1000000,Upper,802,0
1045,0x00000000,1000000,Lower,678,0
1045,0x00000000,500000,Double,8288,0
1046,0xFFFFFFFF,1000000,Upper,992,0
1046,0xFFFFFFFF,1000000,Lower,1040,0
1046,0xFFFFFFFF,500000,Double,18718,0
1046,0x00000000,1000000,Upper,962,0
1046,0x00000000,1000000,Lower,1023,0
1046,0x00000000,500000,Double,9369,0
1047,0xFFFFFFFF,1000000,Upper,945,0
1047,0xFFFFFFFF,1000000,Lower,708,0
1047,0xFFFFFFFF,500000,Double,17711,0
1047,0x00000000,1000000,Upper,809,0
1047,0x00000000,1000000,Lower,679,0
1047,0x00000000,500000,Double,8314,0
1048,0xFFFFFFFF,1000000,Upper,1056,0
1048,0xFFFFFFFF,1000000,Lower,1025,0
1048,0xFFFFFFFF,500000,Double,18794,0
1048,0x00000000,1000000,Upper,873,0
1048,0x00000000,1000000,Lower,1041,0
1048,0x00000000,500000,Double,9193,0
1049,0xFFFFFFFF,1000000,Upper,1015,0
1049,0xFFFFFFFF,1000000,Lower,747,0
1049,0xFFFFFFFF,500000,Double,17579,0
1049,0x00000000,1000000,Upper,837,0
1049,0x00000000,1000000,Lower,676,0
1049,0x00000000,500000,Double,8303,0
1050,0xFFFFFFFF,1000000,Upper,1069,0
1050,0xFFFFFFFF,1000000,Lower,1093,0
1050,0xFFFFFFFF,500000,Double,19060,0
1050,0x00000000,1000000,Upper,951,0
1050,0x00000000,1000000,Lower,965,0
1050,0x00000000,500000,Double,9205,0
1051,0xFFFFFFFF,1000000,Upper,943,0
1051,0xFFFFFFFF,1000000,Lower,737,0
1051,0xFFFFFFFF,500000,Double,17752,0
1051,0x00000000,1000000,Upper,840,0
1051,0x00000000,1000000,Lower,689,0
1051,0x00000000,500000,Double,8471,0
1052,0xFFFFFFFF,1000000,Upper,1042,0
1052,0xFFFFFFFF,1000000,Lower,1057,0
1052,0xFFFFFFFF,500000,Double,19178,0
1052,0x00000000,1000000,Upper,952,0
1052,0x00000000,1000000,Lower,1048,0
1052,0x00000000,500000,Double,9218,0
1053,0xFFFFFFFF,1000000,Upper,924,0
1053,0xFFFFFFFF,1000000,Lower,770,0
1053,0xFFFFFFFF,500000,Double,17602,0
1053,0x00000000,1000000,Upper,834,0
1053,0x00000000,1000000,Lower,719,0
1053,0x00000000,500000,Double,8318,0
1054,0xFFFFFFFF,1000000,Upper,1058,0
1054,0xFFFFFFFF,1000000,Lower,1074,0
1054,0xFFFFFFFF,500000,Double,19242,0
1054,0x00000000,1000000,Upper,878,0
1054,0x00000000,1000000,Lower,1084,0
1054,0x00000000,500000,Double,9382,0
1055,0xFFFFFFFF,1000000,Upper,926,0
1055,0xFFFFFFFF,1000000,Lower,697,0
1055,0xFFFFFFFF,500000,Double,17664,0
1055,0x00000000,1000000,Upper,837,0
1055,0x00000000,1000000,Lower,679,0
1055,0x00000000,500000,Double,8095,0
1056,0xFFFFFFFF,1000000,Upper,1007,0
1056,0xFFFFFFFF,1000000,Lower,1043,0
1056,0xFFFFFFFF,500000,Double,18942,0
1056,0x00000000,1000000,Upper,945,0
1056,0x00000000,1000000,Lower,984,0
1056,0x00000000,500000,Double,9190,0
1057,0xFFFFFFFF,1000000,Upper,927,0
1057,0xFFFFFFFF,1000000,Lower,811,0
1057,0xFFFFFFFF,500000,Double,17611,0
1057,0x00000000,1000000,Upper,826,0
1057,0x00000000,1000000,Lower,725,0
1057,0x00000000,500000,Double,8411,0
1058,0xFFFFFFFF,1000000,Upper,991,0
1058,0xFFFFFFFF,1000000,Lower,1062,0
1058,0xFFFFFFFF,500000,Double,18885,0
1058,0x00000000,1000000,Upper,890,0
1058,0x00000000,1000000,Lower,1016,0
1058,0x00000000,500000,Double,9177,0
1059,0xFFFFFFFF,1000000,Upper,974,0
1059,0xFFFFFFFF,1000000,Lower,740,0
1059,0xFFFFFFFF,500000,Double,17947,0
1059,0x00000000,1000000,Upper,846,0
1059,0x00000000,1000000,Lower,739,0
1059,0x00000000,500000,Double,8169,0
1060,0xFFFFFFFF,1000000,Upper,1012,0
1060,0xFFFFFFFF,1000000,Lower,997,0
1060,0xFFFFFFFF,500000,Double,19085,0
1060,0x00000000,1000000,Upper,888,0
1060,0x00000000,1000000,Lower,1015,0
1060,0x00000000,500000,Double,9260,0
1061,0xFFFFFFFF,1000000,Upper,896,0
1061,0xFFFFFFFF,1000000,Lower,767,0
1061,0xFFFFFFFF,500000,Double,17877,0
1061,0x00000000,1000000,Upper,825,0
1061,0x00000000,1000000,Lower,752,0
1061,0x00000000,500000,Double,8368,0
1062,0xFFFFFFFF,1000000,Upper,1004,0
1062,0xFFFFFFFF,1000000,Lower,1003,0
1062,0xFFFFFFFF,500000,Double,18853,0
1062,0x00000000,1000000,Upper,938,0
1062,0x00000000,1000000,Lower,1068,0
1062,0x00000000,500000,Double,9258,0
1063,0xFFFFFFFF,1000000,Upper,939,0
1063,0xFFFFFFFF,1000000,Lower,768,0
1063,0xFFFFFFFF,500000,Double,17852,0
1063,0x00000000,1000000,Upper,865,0
1063,0x00000000,1000000,Lower,734,0
1063,0x00000000,500000,Double,8462,0
1064,0xFFFFFFFF,1000000,Upper,1032,0
1064,0xFFFFFFFF,1000000,Lower,992,0
1064,0xFFFFFFFF,500000,Double,18985,0
1064,0x00000000,1000000,Upper,939,0
1064,0x00000000,1000000,Lower,1004,0
1064,0x00000000,500000,Double,9332,0
1065,0xFFFFFFFF,1000000,Upper,949,0
1065,0xFFFFFFFF,1000000,Lower,774,0
1065,0xFFFFFFFF,500000,Double,17860,0
1065,0x00000000,1000000,Upper,889,0
1065,0x00000000,1000000,Lower,733,0
1065,0x00000000,500000,Double,8321,0
1066,0xFFFFFFFF,1000000,Upper,1020,0
1066,0xFFFFFFFF,1000000,Lower,1045,0
1066,0xFFFFFFFF,500000,Double,19450,0
1066,0x00000000,1000000,Upper,912,0
1066,0x00000000,1000000,Lower,1046,0
1066,0x00000000,500000,Double,9219,0
1067,0xFFFFFFFF,1000000,Upper,914,0
1067,0xFFFFFFFF,1000000,Lower,797,0
1067,0xFFFFFFFF,500000,Double,17942,0
1067,0x00000000,1000000,Upper,821,0
1067,0x00000000,1000000,Lower,685,0
1067,0x00000000,500000,Double,8117,0
1068,0xFFFFFFFF,1000000,Upper,1080,0
1068,0xFFFFFFFF,1000000,Lower,1068,0
1068,0xFFFFFFFF,500000,Double,19069,0
1068,0x00000000,1000000,Upper,999,0
1068,0x00000000,1000000,Lower,1005,0
1068,0x00000000,500000,Double,9186,0
1069,0xFFFFFFFF,1000000,Upper,910,0
1069,0xFFFFFFFF,1000000,Lower,746,0
1069,0xFFFFFFFF,500000,Double,17705,0
1069,0x00000000,1000000,Upper,889,0
1069,0x00000000,1000000,Lower,751,0
1069,0x00000000,500000,Double,8368,0
1070,0xFFFFFFFF,1000000,Upper,1030,0
1070,0xFFFFFFFF,1000000,Lower,1086,0
1070,0xFFFFFFFF,500000,Double,18986,0
1070,0x00000000,1000000,Upper,874,0
1070,0x00000000,1000000,Lower,1019,0
1070,0x00000000,500000,Double,9274,0
1071,0xFFFFFFFF,1000000,Upper,1011,0
1071,0xFFFFFFFF,1000000,Lower,836,0
1071,0xFFFFFFFF,500000,Double,18064,0
1071,0x00000000,1000000,Upper,923,0
1071,0x00000000,1000000,Lower,763,0
1071,0x00000000,500000,Double,8556,0
1072,0xFFFFFFFF,1000000,Upper,1002,0
1072,0xFFFFFFFF,1000000,Lower,996,0
1072,0xFFFFFFFF,500000,Double,18751,0
1072,0x00000000,1000000,Upper,942,0
1072,0x00000000,1000000,Lower,1005,0
1072,0x00000000,500000,Double,9322,0
1073,0xFFFFFFFF,1000000,Upper,970,0
1073,0xFFFFFFFF,1000000,Lower,846,0
1073,0xFFFFFFFF,500000,Double,17844,0
1073,0x00000000,1000000,Upper,892,0
1073,0x00000000,1000000,Lower,697,0
1073,0x00000000,500000,Double,8655,0
1074,0xFFFFFFFF,1000000,Upper,998,0
1074,0xFFFFFFFF,1000000,Lower,1097,0
1074,0xFFFFFFFF,500000,Double,18998,0
1074,0x00000000,1000000,Upper,882,0
1074,0x00000000,1000000,Lower,1033,0
1074,0x00000000,500000,Double,9221,0
1075,0xFFFFFFFF,1000000,Upper,946,0
1075,0xFFFFFFFF,1000000,Lower,847,0
1075,0xFFFFFFFF,500000,Double,18062,0
1075,0x00000000,1000000,Upper,901,0
1075,0x00000000,1000000,Lower,776,0
1075,0x00000000,500000,Double,8427,0
1076,0xFFFFFFFF,1000000,Upper,1054,0
1076,0xFFFFFFFF,1000000,Lower,993,0
1076,0xFFFFFFFF,500000,Double,18898,0
1076,0x00000000,1000000,Upper,903,0
1076,0x00000000,1000000,Lower,944,0
1076,0x00000000,500000,Double,9168,0
1077,0xFFFFFFFF,1000000,Upper,1007,0
1077,0xFFFFFFFF,1000000,Lower,890,0
1077,0xFFFFFFFF,500000,Double,18204,0
1077,0x00000000,1000000,Upper,863,0
1077,0x00000000,1000000,Lower,734,0
1077,0x00000000,500000,Double,8306,0
1078,0xFFFFFFFF,1000000,Upper,1036,0
1078,0xFFFFFFFF,1000000,Lower,960,0
1078,0xFFFFFFFF,500000,Double,18881,0
1078,0x00000000,1000000,Upper,821,0
1078,0x00000000,1000000,Lower,941,0
1078,0x00000000,500000,Double,9010,0
1079,0xFFFFFFFF,1000000,Upper,1002,0
1079,0xFFFFFFFF,1000000,Lower,799,0
1079,0xFFFFFFFF,500000,Double,17910,0
1079,0x00000000,1000000,Upper,956,0
1079,0x00000000,1000000,Lower,761,0
1079,0x00000000,500000,Double,8559,0
1080,0xFFFFFFFF,1000000,Upper,1044,0
1080,0xFFFFFFFF,1000000,Lower,1010,0
1080,0xFFFFFFFF,500000,Double,18951,0
1080,0x00000000,1000000,Upper,927,0
1080,0x00000000,1000000,Lower,1002,0
1080,0x00000000,500000,Double,9119,0
1081,0xFFFFFFFF,1000000,Upper,1021,0
1081,0xFFFFFFFF,1000000,Lower,828,0
1081,0xFFFFFFFF,500000,Double,17916,0
1081,0x00000000,1000000,Upper,885,0
1081,0x00000000,1000000,Lower,753,0
1081,0x00000000,500000,Double,8552,0
1082,0xFFFFFFFF,1000000,Upper,999,0
1082,0xFFFFFFFF,1000000,Lower,1040,0
1082,0xFFFFFFFF,500000,Double,18881,0
1082,0x00000000,1000000,Upper,943,0
1082,0x00000000,1000000,Lower,967,0
1082,0x00000000,500000,Double,9257,0
1083,0xFFFFFFFF,1000000,Upper,931,0
1083,0xFFFFFFFF,1000000,Lower,805,0
1083,0xFFFFFFFF,500000,Double,17997,0
1083,0x00000000,1000000,Upper,844,0
1083,0x00000000,1000000,Lower,759,0
1083,0x00000000,500000,Double,8492,0
1084,0xFFFFFFFF,1000000,Upper,991,0
1084,0xFFFFFFFF,1000000,Lower,1047,0
1084,0xFFFFFFFF,500000,Double,18873,0
1084,0x00000000,1000000,Upper,960,0
1084,0x00000000,1000000,Lower,986,0
1084,0x00000000,500000,Double,9345,0
1085,0xFFFFFFFF,1000000,Upper,968,0
1085,0xFFFFFFFF,1000000,Lower,813,0
1085,0xFFFFFFFF,500000,Double,17857,0
1085,0x00000000,1000000,Upper,916,0
1085,0x00000000,1000000,Lower,791,0
1085,0x00000000,500000,Double,8632,0
1086,0xFFFFFFFF,1000000,Upper,1009,0
1086,0xFFFFFFFF,1000000,Lower,990,0
1086,0xFFFFFFFF,500000,Double,18986,0
1086,0x00000000,1000000,Upper,909,0
1086,0x00000000,1000000,Lower,992,0
1086,0x00000000,500000,Double,9275,0
1087,0xFFFFFFFF,1000000,Upper,1014,0
1087,0xFFFFFFFF,1000000,Lower,809,0
1087,0xFFFFFFFF,500000,Double,17919,0
1087,0x00000000,1000000,Upper,895,0
1087,0x00000000,1000000,Lower,774,0
1087,0x00000000,500000,Double,8495,0
1088,0xFFFFFFFF,1000000,Upper,1052,0
1088,0xFFFFFFFF,1000000,Lower,1049,0
1088,0xFFFFFFFF,500000,Double,19019,0
1088,0x00000000,1000000,Upper,866,0
1088,0x00000000,1000000,Lower,1004,0
1088,0x00000000,500000,Double,9283,0
1089,0xFFFFFFFF,1000000,Upper,820,0
1089,0xFFFFFFFF,1000000,Lower,774,0
1089,0xFFFFFFFF,500000,Double,15886,0
1089,0x00000000,1000000,Upper,870,0
1089,0x00000000,1000000,Lower,727,0
1089,0x00000000,500000,Double,7496,0
1090,0xFFFFFFFF,1000000,Upper,1014,0
1090,0xFFFFFFFF,1000000,Lower,902,0
1090,0xFFFFFFFF,500000,Double,16756,0
1090,0x00000000,1000000,Upper,953,0
1090,0x00000000,1000000,Lower,921,0
1090,0x00000000,500000,Double,8088,0
1091,0xFFFFFFFF,1000000,Upper,835,0
1091,0xFFFFFFFF,1000000,Lower,847,0
1091,0xFFFFFFFF,500000,Double,15829,0
1091,0x00000000,1000000,Upper,810,0
1091,0x00000000,1000000,Lower,811,0
1091,0x00000000,500000,Double,7525,0
1092,0xFFFFFFFF,1000000,Upper,1000,0
1092,0xFFFFFFFF,1000000,Lower,915,0
1092,0xFFFFFFFF,500000,Double,16663,0
1092,0x00000000,1000000,Upper,923,0
1092,0x00000000,1000000,Lower,880,0
1092,0x00000000,500000,Double,8036,0
1093,0xFFFFFFFF,1000000,Upper,930,0
1093,0xFFFFFFFF,1000000,Lower,854,0
1093,0xFFFFFFFF,500000,Double,17953,0
1093,0x00000000,1000000,Upper,935,0
1093,0x00000000,1000000,Lower,756,0
1093,0x00000000,500000,Double,8508,0
1094,0xFFFFFFFF,1000000,Upper,991,0
1094,0xFFFFFFFF,1000000,Lower,1084,0
1094,0xFFFFFFFF,500000,Double,19074,0
1094,0x00000000,1000000,Upper,923,0
1094,0x00000000,1000000,Lower,1023,0
1094,0x00000000,500000,Double,9239,0
