Temp,Vic Row,HC,Itr
50,1025,93000,0
50,1026,102000,0
50,1027,89000,0
50,1028,100000,0
50,1029,92000,0
50,1030,100000,0
50,1031,19000,0
50,1032,98000,0
50,1033,93000,0
50,1034,101000,0
50,1035,86000,0
50,1036,93000,0
50,1037,91000,0
50,1038,97000,0
50,1039,87000,0
50,1040,97000,0
50,1041,89000,0
50,1042,99000,0
50,1043,92000,0
50,1044,95000,0
50,1045,90000,0
50,1046,18000,0
50,1047,19000,0
50,1048,18000,0
50,1049,89000,0
50,1050,99000,0
50,1051,91000,0
50,1052,18000,0
50,1053,90000,0
50,1054,95000,0
50,1055,82000,0
50,1056,91000,0
50,1057,92000,0
50,1058,93000,0
50,1059,87000,0
50,1060,92000,0
50,1061,89000,0
50,1062,93000,0
50,1063,88000,0
50,1064,85000,0
50,1065,89000,0
50,1066,17000,0
50,1067,92000,0
50,1068,96000,0
50,1069,86000,0
50,1070,95000,0
50,1071,95000,0
50,1072,94000,0
50,1073,92000,0
50,1074,92000,0
50,1075,17000,0
50,1076,96000,0
50,1077,90000,0
50,1078,87000,0
50,1079,90000,0
50,1080,90000,0
50,1081,85000,0
50,1082,98000,0
50,1083,81000,0
50,1084,93000,0
50,1085,84000,0
50,1086,96000,0
50,1087,82000,0
50,1088,89000,0
50,1089,84000,0
50,1090,98000,0
50,1091,88000,0
50,1092,95000,0
50,1093,89000,0
50,1094,92000,0
50,1095,88000,0
50,1096,93000,0
50,1097,81000,0
50,1098,93000,0
50,1099,17000,0
50,1100,88000,0
50,1101,85000,0
50,1102,89000,0
50,1103,87000,0
50,1104,91000,0
50,1105,91000,0
50,1106,94000,0
50,1107,17000,0
50,1108,91000,0
50,1109,90000,0
50,1110,94000,0
50,1111,84000,0
50,1112,98000,0
50,1113,86000,0
50,1114,18000,0
50,1115,84000,0
50,1116,94000,0
50,1117,81000,0
50,1118,18000,0
50,1119,20000,0
50,1120,100000,0
50,1121,19000,0
50,1122,91000,0
50,1123,88000,0
50,1124,89000,0
50,1125,86000,0
50,1126,95000,0
50,1127,81000,0
50,1128,97000,0
50,1129,84000,0
50,1130,98000,0
50,1131,85000,0
50,1132,92000,0
50,1133,82000,0
50,1134,94000,0
50,1135,85000,0
50,1136,93000,0
50,1137,90000,0
50,1138,90000,0
50,1139,18000,0
50,1140,91000,0
50,1141,89000,0
50,1142,93000,0
50,1143,15000,0
50,1144,16000,0
50,1145,80000,0
50,1146,95000,0
50,1147,85000,0
50,1148,97000,0
50,1149,83000,0
50,1150,96000,0
50,1151,15000,0
50,1152,91000,0
50,1153,88000,0
50,1154,95000,0
50,1155,84000,0
50,1156,89000,0
50,1157,83000,0
50,1158,94000,0
50,1159,83000,0
50,1160,92000,0
50,1161,79000,0
50,1162,88000,0
50,1163,82000,0
50,1164,92000,0
50,1165,85000,0
50,1166,90000,0
50,1167,82000,0
50,1168,95000,0
50,1169,17000,0
50,1170,92000,0
50,1171,86000,0
50,1172,95000,0
50,1173,91000,0
50,1174,90000,0
50,1175,85000,0
50,1176,18000,0
