Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,1000000,Upper,35,0
1024,0xFFFFFFFF,1000000,Lower,43,0
1024,0xFFFFFFFF,500000,Double,3200,0
1024,0x00000000,1000000,Upper,60,0
1024,0x00000000,1000000,Lower,37,0
1024,0x00000000,500000,Double,1720,0
1025,0xFFFFFFFF,1000000,Upper,42,0
1025,0xFFFFFFFF,1000000,Lower,42,0
1025,0xFFFFFFFF,500000,Double,3164,0
1025,0x00000000,1000000,Upper,65,0
1025,0x00000000,1000000,Lower,35,0
1025,0x00000000,500000,Double,1824,0
1026,0xFFFFFFFF,1000000,Upper,26,0
1026,0xFFFFFFFF,1000000,Lower,32,0
1026,0xFFFFFFFF,500000,Double,3146,0
1026,0x00000000,1000000,Upper,48,0
1026,0x00000000,1000000,Lower,47,0
1026,0x00000000,500000,Double,1802,0
1027,0xFFFFFFFF,1000000,Upper,51,0
1027,0xFFFFFFFF,1000000,Lower,56,0
1027,0xFFFFFFFF,500000,Double,3317,0
1027,0x00000000,1000000,Upper,73,0
1027,0x00000000,1000000,Lower,57,0
1027,0x00000000,500000,Double,1772,0
1028,0xFFFFFFFF,1000000,Upper,45,0
1028,0xFFFFFFFF,1000000,Lower,55,0
1028,0xFFFFFFFF,500000,Double,3309,0
1028,0x00000000,1000000,Upper,71,0
1028,0x00000000,1000000,Lower,51,0
1028,0x00000000,500000,Double,1802,0
1029,0xFFFFFFFF,1000000,Upper,50,0
1029,0xFFFFFFFF,1000000,Lower,62,0
1029,0xFFFFFFFF,500000,Double,3334,0
1029,0x00000000,1000000,Upper,54,0
1029,0x00000000,1000000,Lower,52,0
1029,0x00000000,500000,Double,1775,0
1030,0xFFFFFFFF,1000000,Upper,57,0
1030,0xFFFFFFFF,1000000,Lower,63,0
1030,0xFFFFFFFF,500000,Double,3058,0
1030,0x00000000,1000000,Upper,62,0
1030,0x00000000,1000000,Lower,61,0
1030,0x00000000,500000,Double,1783,0
1031,0xFFFFFFFF,1000000,Upper,69,0
1031,0xFFFFFFFF,1000000,Lower,60,0
1031,0xFFFFFFFF,500000,Double,3200,0
1031,0x00000000,1000000,Upper,77,0
1031,0x00000000,1000000,Lower,71,0
1031,0x00000000,500000,Double,1842,0
1032,0xFFFFFFFF,1000000,Upper,58,0
1032,0xFFFFFFFF,1000000,Lower,55,0
1032,0xFFFFFFFF,500000,Double,3183,0
1032,0x00000000,1000000,Upper,74,0
1032,0x00000000,1000000,Lower,53,0
1032,0x00000000,500000,Double,1847,0
1033,0xFFFFFFFF,1000000,Upper,55,0
1033,0xFFFFFFFF,1000000,Lower,55,0
1033,0xFFFFFFFF,500000,Double,3214,0
1033,0x00000000,1000000,Upper,74,0
1033,0x00000000,1000000,Lower,63,0
1033,0x00000000,500000,Double,1777,0
1034,0xFFFFFFFF,1000000,Upper,42,0
1034,0xFFFFFFFF,1000000,Lower,56,0
1034,0xFFFFFFFF,500000,Double,3185,0
1034,0x00000000,1000000,Upper,66,0
1034,0x00000000,1000000,Lower,64,0
1034,0x00000000,500000,Double,1772,0
1035,0xFFFFFFFF,1000000,Upper,50,0
1035,0xFFFFFFFF,1000000,Lower,49,0
1035,0xFFFFFFFF,500000,Double,3401,0
1035,0x00000000,1000000,Upper,53,0
1035,0x00000000,1000000,Lower,76,0
1035,0x00000000,500000,Double,1797,0
1036,0xFFFFFFFF,1000000,Upper,34,0
1036,0xFFFFFFFF,1000000,Lower,47,0
1036,0xFFFFFFFF,500000,Double,3258,0
1036,0x00000000,1000000,Upper,59,0
1036,0x00000000,1000000,Lower,56,0
1036,0x00000000,500000,Double,1835,0
1037,0xFFFFFFFF,1000000,Upper,30,0
1037,0xFFFFFFFF,1000000,Lower,53,0
1037,0xFFFFFFFF,500000,Double,3298,0
1037,0x00000000,1000000,Upper,71,0
1037,0x00000000,1000000,Lower,47,0
1037,0x00000000,500000,Double,1814,0
1038,0xFFFFFFFF,1000000,Upper,45,0
1038,0xFFFFFFFF,1000000,Lower,49,0
1038,0xFFFFFFFF,500000,Double,3203,0
1038,0x00000000,1000000,Upper,63,0
1038,0x00000000,1000000,Lower,49,0
1038,0x00000000,500000,Double,1753,0
1039,0xFFFFFFFF,1000000,Upper,45,0
1039,0xFFFFFFFF,1000000,Lower,36,0
1039,0xFFFFFFFF,500000,Double,3212,0
1039,0x00000000,1000000,Upper,49,0
1039,0x00000000,1000000,Lower,50,0
1039,0x00000000,500000,Double,1750,0
1040,0xFFFFFFFF,1000000,Upper,44,0
1040,0xFFFFFFFF,1000000,Lower,49,0
1040,0xFFFFFFFF,500000,Double,3361,0
1040,0x00000000,1000000,Upper,81,0
1040,0x00000000,1000000,Lower,39,0
1040,0x00000000,500000,Double,1845,0
1041,0xFFFFFFFF,1000000,Upper,40,0
1041,0xFFFFFFFF,1000000,Lower,42,0
1041,0xFFFFFFFF,500000,Double,3179,0
1041,0x00000000,1000000,Upper,56,0
1041,0x00000000,1000000,Lower,40,0
1041,0x00000000,500000,Double,1761,0
1042,0xFFFFFFFF,1000000,Upper,38,0
1042,0xFFFFFFFF,1000000,Lower,37,0
1042,0xFFFFFFFF,500000,Double,3125,0
1042,0x00000000,1000000,Upper,54,0
1042,0x00000000,1000000,Lower,53,0
1042,0x00000000,500000,Double,1766,0
1043,0xFFFFFFFF,1000000,Upper,43,0
1043,0xFFFFFFFF,1000000,Lower,41,0
1043,0xFFFFFFFF,500000,Double,3393,0
1043,0x00000000,1000000,Upper,67,0
1043,0x00000000,1000000,Lower,48,0
1043,0x00000000,500000,Double,1866,0
1044,0xFFFFFFFF,1000000,Upper,61,0
1044,0xFFFFFFFF,1000000,Lower,45,0
1044,0xFFFFFFFF,500000,Double,3343,0
1044,0x00000000,1000000,Upper,60,0
1044,0x00000000,1000000,Lower,59,0
1044,0x00000000,500000,Double,1782,0
1045,0xFFFFFFFF,1000000,Upper,47,0
1045,0xFFFFFFFF,1000000,Lower,54,0
1045,0xFFFFFFFF,500000,Double,3148,0
1045,0x00000000,1000000,Upper,62,0
1045,0x00000000,1000000,Lower,54,0
1045,0x00000000,500000,Double,1726,0
1046,0xFFFFFFFF,1000000,Upper,48,0
1046,0xFFFFFFFF,1000000,Lower,44,0
1046,0xFFFFFFFF,500000,Double,3165,0
1046,0x00000000,1000000,Upper,68,0
1046,0x00000000,1000000,Lower,57,0
1046,0x00000000,500000,Double,1788,0
1047,0xFFFFFFFF,1000000,Upper,64,0
1047,0xFFFFFFFF,1000000,Lower,62,0
1047,0xFFFFFFFF,500000,Double,3317,0
1047,0x00000000,1000000,Upper,74,0
1047,0x00000000,1000000,Lower,61,0
1047,0x00000000,500000,Double,1760,0
1048,0xFFFFFFFF,1000000,Upper,41,0
1048,0xFFFFFFFF,1000000,Lower,71,0
1048,0xFFFFFFFF,500000,Double,3056,0
1048,0x00000000,1000000,Upper,67,0
1048,0x00000000,1000000,Lower,56,0
1048,0x00000000,500000,Double,1791,0
1049,0xFFFFFFFF,1000000,Upper,43,0
1049,0xFFFFFFFF,1000000,Lower,59,0
1049,0xFFFFFFFF,500000,Double,3290,0
1049,0x00000000,1000000,Upper,77,0
1049,0x00000000,1000000,Lower,52,0
1049,0x00000000,500000,Double,1831,0
1050,0xFFFFFFFF,1000000,Upper,45,0
1050,0xFFFFFFFF,1000000,Lower,46,0
1050,0xFFFFFFFF,500000,Double,3266,0
1050,0x00000000,1000000,Upper,71,0
1050,0x00000000,1000000,Lower,61,0
1050,0x00000000,500000,Double,1838,0
1051,0xFFFFFFFF,1000000,Upper,41,0
1051,0xFFFFFFFF,1000000,Lower,47,0
1051,0xFFFFFFFF,500000,Double,3163,0
1051,0x00000000,1000000,Upper,57,0
1051,0x00000000,1000000,Lower,64,0
1051,0x00000000,500000,Double,1742,0
1052,0xFFFFFFFF,1000000,Upper,41,0
1052,0xFFFFFFFF,1000000,Lower,53,0
1052,0xFFFFFFFF,500000,Double,3374,0
1052,0x00000000,1000000,Upper,68,0
1052,0x00000000,1000000,Lower,55,0
1052,0x00000000,500000,Double,1889,0
1053,0xFFFFFFFF,1000000,Upper,46,0
1053,0xFFFFFFFF,1000000,Lower,41,0
1053,0xFFFFFFFF,500000,Double,3257,0
1053,0x00000000,1000000,Upper,69,0
1053,0x00000000,1000000,Lower,58,0
1053,0x00000000,500000,Double,1818,0
1054,0xFFFFFFFF,1000000,Upper,37,0
1054,0xFFFFFFFF,1000000,Lower,38,0
1054,0xFFFFFFFF,500000,Double,3025,0
1054,0x00000000,1000000,Upper,55,0
1054,0x00000000,1000000,Lower,65,0
1054,0x00000000,500000,Double,1800,0
1055,0xFFFFFFFF,1000000,Upper,36,0
1055,0xFFFFFFFF,1000000,Lower,44,0
1055,0xFFFFFFFF,500000,Double,3240,0
1055,0x00000000,1000000,Upper,51,0
1055,0x00000000,1000000,Lower,47,0
1055,0x00000000,500000,Double,1758,0
1056,0xFFFFFFFF,1000000,Upper,34,0
1056,0xFFFFFFFF,1000000,Lower,48,0
1056,0xFFFFFFFF,500000,Double,3190,0
1056,0x00000000,1000000,Upper,56,0
1056,0x00000000,1000000,Lower,47,0
1056,0x00000000,500000,Double,1828,0
1057,0xFFFFFFFF,1000000,Upper,32,0
1057,0xFFFFFFFF,1000000,Lower,49,0
1057,0xFFFFFFFF,500000,Double,3203,0
1057,0x00000000,1000000,Upper,60,0
1057,0x00000000,1000000,Lower,57,0
1057,0x00000000,500000,Double,1792,0
1058,0xFFFFFFFF,1000000,Upper,34,0
1058,0xFFFFFFFF,1000000,Lower,33,0
1058,0xFFFFFFFF,500000,Double,3132,0
