Temp,Vic Row,HC,Itr
50,1024,265000,0
50,1025,271000,0
50,1026,270000,0
50,1027,284000,0
50,1028,257000,0
50,1029,264000,0
50,1030,268000,0
50,1031,260000,0
50,1032,50000,0
50,1033,252000,0
50,1034,41000,0
50,1035,270000,0
50,1036,279000,0
50,1037,268000,0
50,1038,284000,0
50,1039,284000,0
50,1040,248000,0
50,1041,277000,0
50,1042,275000,0
50,1043,57000,0
50,1044,259000,0
50,1045,52000,0
50,1046,270000,0
50,1047,259000,0
50,1048,268000,0
50,1049,268000,0
50,1050,262000,0
50,1051,46000,0
50,1052,42000,0
50,1053,263000,0
50,1054,48000,0
50,1055,51000,0
50,1056,270000,0
50,1057,270000,0
50,1058,257000,0
50,1059,250000,0
50,1060,47000,0
50,1061,269000,0
50,1062,269000,0
50,1063,286000,0
50,1064,267000,0
50,1065,257000,0
50,1066,286000,0
50,1067,41000,0
50,1068,270000,0
50,1069,50000,0
50,1070,282000,0
50,1071,254000,0
50,1072,264000,0
50,1073,53000,0
50,1074,274000,0
50,1075,255000,0
50,1076,276000,0
50,1077,260000,0
50,1078,272000,0
50,1079,284000,0
50,1080,277000,0
50,1081,270000,0
50,1082,299000,0
50,1083,250000,0
50,1084,57000,0
50,1085,293000,0
50,1086,275000,0
50,1087,282000,0
50,1088,263000,0
50,1089,262000,0
50,1090,278000,0
50,1091,258000,0
50,1092,281000,0
50,1093,269000,0
50,1094,276000,0
50,1095,293000,0
50,1096,274000,0
50,1097,267000,0
50,1098,284000,0
50,1099,271000,0
50,1100,288000,0
50,1101,261000,0
50,1102,266000,0
50,1103,272000,0
50,1104,262000,0
50,1105,253000,0
50,1106,290000,0
50,1107,269000,0
50,1108,284000,0
50,1109,275000,0
50,1110,281000,0
50,1111,258000,0
50,1112,280000,0
50,1113,243000,0
50,1114,50000,0
50,1115,262000,0
50,1116,263000,0
50,1117,259000,0
50,1118,287000,0
50,1119,282000,0
50,1120,260000,0
50,1121,274000,0
50,1122,267000,0
50,1123,263000,0
50,1124,276000,0
50,1125,279000,0
50,1126,293000,0
50,1127,273000,0
50,1128,282000,0
50,1129,292000,0
50,1130,40000,0
50,1131,244000,0
50,1132,287000,0
50,1133,285000,0
50,1134,263000,0
50,1135,263000,0
50,1136,267000,0
50,1137,277000,0
50,1138,273000,0
50,1139,45000,0
