Temp,Vic Row,HC,Itr
50,1024,151000,0
50,1025,22000,0
50,1026,144000,0
50,1027,130000,0
50,1028,134000,0
50,1029,135000,0
50,1030,141000,0
50,1031,142000,0
50,1032,135000,0
50,1033,135000,0
50,1034,146000,0
50,1035,134000,0
50,1036,139000,0
50,1037,139000,0
50,1038,142000,0
50,1039,136000,0
50,1040,150000,0
50,1041,130000,0
50,1042,141000,0
50,1043,145000,0
50,1044,134000,0
50,1045,141000,0
50,1046,135000,0
50,1047,143000,0
50,1048,138000,0
50,1049,144000,0
50,1050,138000,0
50,1051,133000,0
50,1052,145000,0
50,1053,133000,0
50,1054,138000,0
50,1055,140000,0
50,1056,139000,0
50,1057,133000,0
50,1058,142000,0
50,1059,135000,0
50,1060,137000,0
50,1061,135000,0
50,1062,146000,0
50,1063,142000,0
50,1064,142000,0
50,1065,132000,0
50,1066,145000,0
50,1067,138000,0
50,1068,146000,0
50,1069,135000,0
50,1070,134000,0
50,1071,132000,0
50,1072,140000,0
50,1073,142000,0
50,1074,142000,0
50,1075,154000,0
50,1076,139000,0
50,1077,140000,0
50,1078,140000,0
50,1079,140000,0
50,1080,138000,0
50,1081,138000,0
50,1082,144000,0
50,1083,135000,0
50,1084,139000,0
50,1085,140000,0
50,1086,139000,0
50,1087,130000,0
50,1088,145000,0
50,1089,144000,0
50,1090,138000,0
50,1091,129000,0
50,1092,149000,0
50,1093,126000,0
50,1094,139000,0
50,1095,137000,0
50,1096,143000,0
50,1097,142000,0
50,1098,135000,0
50,1099,134000,0
50,1100,137000,0
50,1101,133000,0
50,1102,149000,0
50,1103,143000,0
50,1104,136000,0
50,1105,137000,0
50,1106,142000,0
50,1107,141000,0
50,1108,143000,0
50,1109,130000,0
50,1110,152000,0
50,1111,19000,0
50,1112,135000,0
50,1113,139000,0
50,1114,143000,0
50,1115,136000,0
50,1116,140000,0
50,1117,139000,0
50,1118,140000,0
50,1119,136000,0
50,1120,137000,0
50,1121,135000,0
50,1122,151000,0
50,1123,134000,0
50,1124,21000,0
50,1125,138000,0
50,1126,137000,0
50,1127,142000,0
50,1128,137000,0
50,1129,140000,0
50,1130,138000,0
50,1131,133000,0
50,1132,140000,0
50,1133,129000,0
50,1134,147000,0
50,1135,139000,0
50,1136,154000,0
50,1137,137000,0
50,1138,144000,0
50,1139,139000,0
50,1140,141000,0
50,1141,130000,0
50,1142,137000,0
50,1143,135000,0
50,1144,140000,0
50,1145,139000,0
50,1146,146000,0
50,1147,144000,0
50,1148,140000,0
50,1149,140000,0
50,1150,142000,0
50,1151,134000,0
50,1152,134000,0
50,1153,139000,0
50,1154,144000,0
50,1155,133000,0
50,1156,131000,0
50,1157,137000,0
50,1158,144000,0
50,1159,140000,0
50,1160,137000,0
50,1161,133000,0
50,1162,138000,0
50,1163,140000,0
50,1164,139000,0
50,1165,130000,0
50,1166,144000,0
50,1167,142000,0
50,1168,138000,0
50,1169,136000,0
50,1170,141000,0
50,1171,136000,0
50,1172,137000,0
50,1173,138000,0
50,1174,144000,0
50,1175,128000,0
50,1176,131000,0
50,1177,136000,0
50,1178,141000,0
50,1179,143000,0
50,1180,143000,0
50,1181,139000,0
50,1182,144000,0
50,1183,138000,0
50,1184,140000,0
50,1185,140000,0
50,1186,133000,0
50,1187,138000,0
50,1188,132000,0
50,1189,139000,0
50,1190,156000,0
50,1191,142000,0
50,1192,142000,0
50,1193,138000,0
50,1194,144000,0
50,1195,134000,0
50,1196,138000,0
50,1197,135000,0
50,1198,145000,0
50,1199,131000,0
50,1200,21000,0
50,1201,128000,0
50,1202,139000,0
50,1203,136000,0
50,1204,136000,0
50,1205,137000,0
50,1206,140000,0
50,1207,141000,0
50,1208,137000,0
50,1209,129000,0
50,1210,21000,0
50,1211,139000,0
50,1212,134000,0
50,1213,122000,0
50,1214,142000,0
50,1215,140000,0
50,1216,140000,0
50,1217,137000,0
50,1218,134000,0
50,1219,136000,0
50,1220,147000,0
50,1221,140000,0
50,1222,147000,0
50,1223,135000,0
50,1224,131000,0
50,1225,133000,0
50,1226,138000,0
50,1227,139000,0
50,1228,142000,0
50,1229,137000,0
50,1230,134000,0
50,1231,143000,0
50,1232,141000,0
50,1233,136000,0
50,1234,139000,0
50,1235,136000,0
50,1236,139000,0
50,1237,120000,0
50,1238,140000,0
50,1239,145000,0
50,1240,139000,0
50,1241,130000,0
50,1242,148000,0
50,1243,127000,0
50,1244,137000,0
50,1245,138000,0
50,1246,145000,0
50,1247,131000,0
50,1248,137000,0
50,1249,134000,0
50,1250,142000,0
50,1251,138000,0
50,1252,138000,0
50,1253,137000,0
50,1254,142000,0
50,1255,136000,0
50,1256,142000,0
50,1257,139000,0
50,1258,144000,0
50,1259,139000,0
50,1260,135000,0
50,1261,136000,0
50,1262,149000,0
50,1263,130000,0
50,1264,139000,0
50,1265,140000,0
50,1266,124000,0
50,1267,134000,0
50,1268,140000,0
50,1269,137000,0
50,1270,139000,0
50,1271,136000,0
50,1272,131000,0
50,1273,136000,0
50,1274,145000,0
50,1275,129000,0
50,1276,137000,0
50,1277,135000,0
50,1278,151000,0
50,1279,135000,0
50,1280,135000,0
50,1281,131000,0
50,1282,153000,0
50,1283,144000,0
50,1284,141000,0
50,1285,136000,0
50,1286,139000,0
50,1287,148000,0
50,1288,149000,0
50,1289,138000,0
50,1290,140000,0
50,1291,138000,0
50,1292,144000,0
50,1293,140000,0
50,1294,142000,0
50,1295,151000,0
50,1296,138000,0
50,1297,22000,0
50,1298,145000,0
50,1299,124000,0
50,1300,141000,0
50,1301,138000,0
50,1302,138000,0
50,1303,142000,0
50,1304,141000,0
50,1305,130000,0
50,1306,149000,0
50,1307,141000,0
50,1308,139000,0
50,1309,140000,0
50,1310,144000,0
50,1311,143000,0
50,1312,146000,0
50,1313,141000,0
50,1314,144000,0
50,1315,136000,0
50,1316,148000,0
50,1317,136000,0
50,1318,142000,0
50,1319,135000,0
50,1320,138000,0
50,1321,128000,0
50,1322,154000,0
50,1323,131000,0
50,1324,134000,0
50,1325,140000,0
50,1326,139000,0
50,1327,142000,0
50,1328,133000,0
50,1329,148000,0
50,1330,143000,0
50,1331,132000,0
50,1332,150000,0
50,1333,139000,0
50,1334,145000,0
50,1335,141000,0
50,1336,143000,0
50,1337,128000,0
50,1338,144000,0
50,1339,133000,0
50,1340,150000,0
50,1341,141000,0
50,1342,134000,0
50,1343,21000,0
50,1344,143000,0
50,1345,139000,0
50,1346,140000,0
50,1347,139000,0
50,1348,148000,0
50,1349,139000,0
50,1350,145000,0
50,1351,128000,0
50,1352,136000,0
50,1353,137000,0
50,1354,140000,0
50,1355,144000,0
50,1356,152000,0
50,1357,142000,0
50,1358,144000,0
50,1359,136000,0
50,1360,145000,0
50,1361,136000,0
50,1362,146000,0
50,1363,138000,0
50,1364,146000,0
50,1365,136000,0
50,1366,147000,0
50,1367,139000,0
50,1368,146000,0
50,1369,139000,0
50,1370,147000,0
50,1371,140000,0
50,1372,146000,0
50,1373,145000,0
50,1374,153000,0
50,1375,149000,0
50,1376,149000,0
50,1377,133000,0
50,1378,141000,0
50,1379,133000,0
50,1380,139000,0
50,1381,150000,0
50,1382,136000,0
50,1383,143000,0
50,1384,144000,0
50,1385,140000,0
50,1386,145000,0
50,1387,145000,0
50,1388,142000,0
50,1389,130000,0
50,1390,148000,0
50,1391,143000,0
50,1392,136000,0
50,1393,139000,0
50,1394,138000,0
50,1395,132000,0
50,1396,150000,0
50,1397,134000,0
50,1398,150000,0
50,1399,138000,0
50,1400,150000,0
50,1401,139000,0
50,1402,149000,0
50,1403,142000,0
50,1404,141000,0
50,1405,146000,0
50,1406,148000,0
50,1407,142000,0
50,1408,149000,0
50,1409,151000,0
50,1410,143000,0
50,1411,144000,0
50,1412,150000,0
50,1413,135000,0
50,1414,161000,0
50,1415,129000,0
50,1416,147000,0
50,1417,145000,0
50,1418,149000,0
50,1419,139000,0
50,1420,143000,0
50,1421,137000,0
50,1422,156000,0
50,1423,149000,0
50,1424,157000,0
50,1425,139000,0
50,1426,153000,0
50,1427,138000,0
50,1428,149000,0
50,1429,143000,0
50,1430,153000,0
50,1431,144000,0
50,1432,146000,0
50,1433,141000,0
50,1434,148000,0
50,1435,147000,0
50,1436,142000,0
50,1437,145000,0
50,1438,154000,0
50,1439,153000,0
50,1440,145000,0
50,1441,144000,0
50,1442,141000,0
50,1443,139000,0
50,1444,165000,0
50,1445,142000,0
50,1446,154000,0
50,1447,145000,0
50,1448,147000,0
50,1449,147000,0
50,1450,154000,0
50,1451,146000,0
50,1452,142000,0
50,1453,134000,0
50,1454,153000,0
50,1455,143000,0
50,1456,150000,0
50,1457,137000,0
50,1458,147000,0
50,1459,142000,0
50,1460,142000,0
50,1461,147000,0
50,1462,159000,0
